address,balance
0x00eea0886ca699e30e5755b3b85f950901356793,1790995790.989133
0x0250dbd6cd13e04fdc5bba202cc13386340f3bf8,173853619.32686904
0x02607c3323e15c4676b8d4220ed72396805b7307,4098140553.134723
0x02e7e0db06dc24e9e8381370bd1f0079e9ca9943,228350392.47980368
0x05285390ba3974178c776d217099bf596572901d,5555702.903587837
0x05390ba1f2c390fb4c69a252f9292e06552e76b0,1346761050.4895446
0x057c9a5306aa3a98923b9440b931be9727752b5f,510001955.01738465
0x05c2317a6d483d9108be0df1240b953e0b0ee9ea,2667328142.177794
0x05ce2ee5c72dfbffbf2e7c7350890f76de7fe21f,687964065.7809405
0x0766617f609b24d48e4c412020a273f7b9d22eb0,2136462987.5521421
0x0964abdf95f65205c9267749a4af84ede370a0f1,45969.016593325
0x0a862efcbfcb4f63ee339950bd2414062107e079,1292705974.9245584
0x0bccd4a3bb6325daf4a32d0243a2f693bcc6fb61,38787780.15419474
0x0c313a5d3f29aeb8a28d66f69b873edc117f2450,120069.482042214
0x0c818c0123d4f3c861fc213d5d8c04203819c22c,160291192.6963877
0x0d68eb373ae4848c69e92599b9152f5f31c448e4,41324109957.12611
0x0e34c33ec531bd7aa3d7c9b2cf40c2aecfba483c,37809.003817285
0x109391a363c586afbc6ce44a70ee7a3a43bb6473,2442160636.9961185
0x12210c7a05323431af2049d0f04069d2fe603c51,127509227.65508638
0x12341097d7a71539ec8a069cd25e4e648f8f138b,13973095119.052673
0x12ed2771c849c29ff3413099ddef6dc987624144,4890830966.890998
0x1336c5b5156759ad3dae3516a093a862bfdee93a,156174296.20524654
0x13aa7150c744102d4e44454717d22bf65e7132c5,353571856.98113596
0x1405374ab01cde1036bd1640e34208621f508e1a,2626605025.748226
0x1419f2edbe6e80c8a9a2220d102e1b9dc951f5d1,375948085.39124304
0x15684b7129df6487d055e91a5bbf89ad85432a40,1071210137.1665606
0x185e827532cd0d859a4f3a4f6b7f231d48669579,1032466172.7047739
0x18902fba77aedcab81b1b57a77f8ae674e24a2ee,102382017.82965715
0x19e4912da337024d754b26182ac7177f7d3e2a45,5089446315.303781
0x1bdc163e86015ccb37e0cff4d5a9872a460b6aa8,329153.092752984
0x1c7630ac74d45899c3de7c11f20355807856491e,0.0
0x1d21d3d89b6d8af2daf48dedc4174eab977e775b,1098506490.6545718
0x1e8d692986ca1ccd725e84c3f95a606b849a34da,18370060701.667263
0x1ec1788f1db4e44e484c6e04497b231e692aad6d,975085687.0912478
0x1ed4064b9e2a6fdae2e86bd17a43c987aa11df06,428685493.6088135
0x200354113fc39c4738fa53173b4ca4abce2c91ff,1502002.487193417
0x2162d991f68cb0991a1b726da341c04e128db3cb,1646778451.66323
0x21ca510e12df4e7ec0d089f2f1cbcce49da12820,76268145.96563354
0x22334608cff04330168dbde32fdde0213dcf7568,934414866.816462
0x224b01c49a0967e805481bce35642187f6b77724,6582720867.507823
0x22af27afa6a6cdd6942df8674ef160b46428978c,3190375189.0502453
0x230d54dbc8dc74309276111836d5710d0c2d748f,1257711894.753899
0x2340bd09450ed9e08f4bb88988f35e31e63b9a75,4214016055.482492
0x242f819ab94d9f0097e1cdbf36ce63af09a0880b,3890626729.6019173
0x251612075db39256e11f2ce8fd5e91837ec41cd3,309098.80167097
0x2615089b21b21e7e6593fd2cf69a36423a8d169f,26887.20854963
0x26873cbf6b70f9f59a24f27d8c6ec42025069a56,185543930.44033474
0x26c334ef5e7ebfc012ad15a6875ea7598a261ae5,17819319853.090553
0x26e8e9d5b06c0972172adf27d07427230dd8d5e2,3317589615.090683
0x2a9bbc250657bbbce561f931582c51bc99bc140a,469792932.0973152
0x2b219526eaf964d680738d411f1434a8afaf092d,4337658275.501452
0x2c6495909178599a2caf2161cbd30df1bdc45ae5,26493877.3432029
0x2d209debac2e9a4dedb700606571de8207f611c4,2890816555.7922416
0x2d4290fc99caa1a36667f5a9ccd2c3d241d60059,2467135532.396428
0x2dfc0d4b37cf78b021594f43d6972116e014a77a,919620717.4811898
0x2e12979da9ad061ccc204c00d0e3a477a8cc4aea,9199759812.402683
0x2e157b1cae74b10c642402c540c353b3a589bb10,4597662.499099417
0x2e83794ea9eabe082f15754f95f64b9025186123,1278307.742978188
0x2f059371297852181bb3565f0d07378359f76690,73982517.78104547
0x2f0df65c444b35b3cbce0efaecd9c9750612e136,130846.173282897
0x2f4abf46bcd373e9aae3aa1184b83f9d37c019d9,529495406.0634292
0x2f98f91895a45e125d3a80e5b351d17606dd3ce0,45974140.4340459
0x323a448311d373a121b4485f4db60da8ca5e000c,595590.618927124
0x3320cd351175e44f61de69fd959d63b9b3b628f4,2941162133.8668633
0x33aa5b321d699c336d3eadf1a3655f45f70fc4ff,18770618463.42417
0x3532f44472f9269d3284a6b43c4b84844b5461c1,584800716.6081719
0x357652b90b6462fa1f1d586ffef30f2cb0b8e346,1139267808.7692337
0x3597fe5f85ef4c23c94b8a53dd94c8106b90bfdd,40653.555469629
0x35e17f1fb0dd8af5f4a1343313dc1d804a086b0c,14551427007.644285
0x36aacbebf9d2477b13c035e82092f2dc53ca9f70,1108600375.749344
0x37c2d0062f2a9d428504327e09534ef60a33813b,436070734.93082696
0x38e611d22543411e09167eb89863d03662a9dc9d,15671485991.526516
0x39019bb09e67a3714ba2128c7088ec2b410d9d92,124025573723.4029
0x39968ddeb963397fe476132b8cf0981eb0759f73,4058554616.842781
0x3aac2d9672cd0e080bf5e770fef9d2fc4e237865,2764662040.22787
0x3b39490a32fdaa44a934022c94aa4069068b24ad,74750005914.2669
0x3ba9692bc12562ee15dc88b3f3e55339bd51c5b3,598480.792897062
0x3ce295a8b2f726870e03af52ed1a16986beb79c0,1273331268.025729
0x3f0160d66fdd9c6a0931d63e1208eb5f46ab3b29,246647803.10509124
0x4355ea5f88d29edb19c8d5861b11cab5c0f7cdb5,11768.282833637
0x43fc364ac5a51ee6c8a44b6adb80606bbb7607d0,2179742080.271877
0x45b140778aba1c83391706b88499d958a8aa7918,552513150.5452332
0x45b426fc8db36a0d3e522f9a6d27cd060d0d8b08,3134206430.935595
0x464bb7c5b1524271a57d6aaba701af05142eff23,739467256.623193
0x465983ff53814cb72c16f4f17be515960d3478c7,997877210.8892282
0x47f40bfe57a4345d6352941f645bff2bb2c9825f,203230851.24848872
0x47f779a40044d81d0fde63d6ba80005f0413edd3,318985247.6896199
0x4917d55e6b1da5a0bfc616de6233256c1c75107d,20372173.529533427
0x49ed1b0a1e7b6e846e79f60cd9b5d51809750fef,2442030007.2865186
